X,Depth,Resistivity,Conductivity
903.75,1.25,34.59,0.0289
906.25,1.25,32.15,0.0311
908.75,1.25,32.19,0.0311
911.25,1.25,33.55,0.0298
913.75,1.25,33.59,0.0298
916.25,1.25,38.94,0.0257
918.75,1.25,38.98,0.0257
921.25,1.25,31.99,0.0313
923.75,1.25,34.19,0.0292
926.25,1.25,30.51,0.0328
928.75,1.25,30.07,0.0333
931.25,1.25,31.12,0.0321
933.75,1.25,31.43,0.0318
936.25,1.25,31.06,0.0322
938.75,1.25,29.71,0.0337
941.25,1.25,31.22,0.032
943.75,1.25,30.2,0.0331
946.25,1.25,29.98,0.0334
948.75,1.25,28.27,0.0354
951.25,1.25,31.93,0.0313
953.75,1.25,31.73,0.0315
956.25,1.25,30.66,0.0326
958.75,1.25,31.8,0.0314
961.25,1.25,31.85,0.0314
963.75,1.25,31.9,0.0313
966.25,1.25,31.59,0.0317
968.75,1.25,32.6,0.0307
971.25,1.25,31.7,0.0315
973.75,1.25,31.74,0.0315
976.25,1.25,28.12,0.0356
978.75,1.25,28.14,0.0355
981.25,1.25,27.22,0.0367
983.75,1.25,25.15,0.0398
986.25,1.25,24.66,0.0406
988.75,1.25,24.74,0.0404
991.25,1.25,24.56,0.0407
993.75,1.25,24.18,0.0414
996.25,1.25,23.83,0.042
998.75,1.25,24.05,0.0416
1001.25,1.25,26.53,0.0377
1003.75,1.25,24.47,0.0409
1006.25,1.25,24.58,0.0407
1008.75,1.25,34.14,0.0293
1011.25,1.25,29.39,0.034
1013.75,1.25,29.09,0.0344
1016.25,1.25,29.84,0.0335
1018.75,1.25,29.82,0.0335
1021.25,1.25,29.71,0.0337
1023.75,1.25,30.14,0.0332
1026.25,1.25,31.4,0.0318
1028.75,1.25,31.8,0.0314
1031.25,1.25,31.96,0.0313
1033.75,1.25,31.96,0.0313
1036.25,1.25,34.42,0.0291
1038.75,1.25,36.45,0.0274
1041.25,1.25,34.65,0.0289
1043.75,1.25,34.65,0.0289
1046.25,1.25,34.88,0.0287
1048.75,1.25,34.92,0.0286
1051.25,1.25,31.76,0.0315
1053.75,1.25,31.71,0.0315
1056.25,1.25,31.34,0.0319
1058.75,1.25,31.34,0.0319
1061.25,1.25,32.4,0.0309
1063.75,1.25,33.62,0.0297
1066.25,1.25,33.36,0.03
1068.75,1.25,33.38,0.03
1071.25,1.25,34.35,0.0291
1073.75,1.25,33.94,0.0295
1076.25,1.25,35.46,0.0282
1078.75,1.25,35.2,0.0284
1081.25,1.25,34.68,0.0288
1083.75,1.25,35.55,0.0281
1086.25,1.25,35.93,0.0278
1088.75,1.25,36.4,0.0275
1091.25,1.25,46.88,0.0213
1093.75,1.25,35.31,0.0283
1096.25,1.25,35.98,0.0278
1098.75,1.25,48.64,0.0206
1101.25,1.25,42.6,0.0235
1103.75,1.25,42.43,0.0236
1106.25,1.25,43.79,0.0228
1108.75,1.25,44.18,0.0226
1111.25,1.25,44.57,0.0224
1113.75,1.25,46.86,0.0213
1116.25,1.25,44.99,0.0222
1118.75,1.25,46.88,0.0213
1121.25,1.25,46.47,0.0215
1123.75,1.25,46.45,0.0215
1126.25,1.25,46.54,0.0215
1128.75,1.25,53.52,0.0187
1131.25,1.25,52.98,0.0189
1133.75,1.25,53.09,0.0188
1136.25,1.25,59.22,0.0169
1138.75,1.25,58.52,0.0171
1141.25,1.25,56.71,0.0176
1143.75,1.25,61.74,0.0162
1146.25,1.25,54.02,0.0185
1148.75,1.25,55.59,0.018
1151.25,1.25,51.28,0.0195
1153.75,1.25,51.41,0.0195
1156.25,1.25,53.94,0.0185
1158.75,1.25,59.03,0.0169
1161.25,1.25,60.05,0.0167
1163.75,1.25,60.63,0.0165
1166.25,1.25,67.9,0.0147
1168.75,1.25,58.66,0.017
1171.25,1.25,71.44,0.014
1173.75,1.25,65.92,0.0152
1176.25,1.25,83.94,0.0119
1178.75,1.25,65.52,0.0153
1181.25,1.25,85.07,0.0118
1183.75,1.25,70.74,0.0141
1186.25,1.25,67.63,0.0148
1188.75,1.25,78.2,0.0128
