X,Depth,Resistivity,Conductivity
736.25,1.25,24.46,0.0409
738.75,1.25,40.47,0.0247
741.25,1.25,49.3,0.0203
743.75,1.25,49.77,0.0201
746.25,1.25,24.2,0.0413
748.75,1.25,22.72,0.044
751.25,1.25,22.51,0.0444
753.75,1.25,28.85,0.0347
756.25,1.25,23.92,0.0418
758.75,1.25,26.98,0.0371
761.25,1.25,38.87,0.0257
763.75,1.25,42.65,0.0234
766.25,1.25,42.99,0.0233
768.75,1.25,19.15,0.0522
771.25,1.25,47.06,0.0212
773.75,1.25,41.34,0.0242
776.25,1.25,34.76,0.0288
778.75,1.25,34,0.0294
781.25,1.25,38.71,0.0258
783.75,1.25,36.73,0.0272
786.25,1.25,41.88,0.0239
788.75,1.25,32.44,0.0308
791.25,1.25,57.25,0.0175
793.75,1.25,24.43,0.0409
796.25,1.25,28.78,0.0347
798.75,1.25,28.69,0.0348
801.25,1.25,33.14,0.0302
803.75,1.25,32.17,0.0311
806.25,1.25,30.19,0.0331
808.75,1.25,30.69,0.0326
811.25,1.25,38.4,0.026
813.75,1.25,39,0.0256
816.25,1.25,34.43,0.029
818.75,1.25,39.99,0.025
821.25,1.25,35.4,0.0282
823.75,1.25,36.06,0.0277
826.25,1.25,32.09,0.0312
828.75,1.25,32.05,0.0312
831.25,1.25,35.18,0.0284
833.75,1.25,29.52,0.0339
836.25,1.25,29.93,0.0334
838.75,1.25,33.99,0.0294
841.25,1.25,28.92,0.0346
843.75,1.25,47.98,0.0208
846.25,1.25,29.13,0.0343
848.75,1.25,44.2,0.0226
851.25,1.25,46.73,0.0214
853.75,1.25,57.41,0.0174
856.25,1.25,60.95,0.0164
858.75,1.25,55.44,0.018
861.25,1.25,52.77,0.0189
863.75,1.25,53.7,0.0186
866.25,1.25,50.94,0.0196
868.75,1.25,52.91,0.0189
871.25,1.25,54.82,0.0182
873.75,1.25,53.72,0.0186
876.25,1.25,53.87,0.0186
878.75,1.25,53.86,0.0186
881.25,1.25,49.02,0.0204
883.75,1.25,48.66,0.0205
886.25,1.25,46.85,0.0213
888.75,1.25,44.45,0.0225
891.25,1.25,44.52,0.0225
893.75,1.25,33.77,0.0296
896.25,1.25,34.74,0.0288
898.75,1.25,34.15,0.0293
901.25,1.25,39.32,0.0254
903.75,1.25,36.33,0.0275
906.25,1.25,42.08,0.0238
908.75,1.25,27.81,0.036
911.25,1.25,44.45,0.0225
913.75,1.25,36.58,0.0273
916.25,1.25,42.62,0.0235
918.75,1.25,42.43,0.0236
921.25,1.25,42.57,0.0235
923.75,1.25,37.86,0.0264
926.25,1.25,33.91,0.0295
928.75,1.25,47.82,0.0209
931.25,1.25,44.5,0.0225
933.75,1.25,42.38,0.0236
936.25,1.25,43.31,0.0231
938.75,1.25,43.03,0.0232
941.25,1.25,39.21,0.0255
943.75,1.25,27.93,0.0358
946.25,1.25,26.33,0.038
948.75,1.25,44.01,0.0227
951.25,1.25,60.21,0.0166
953.75,1.25,61.24,0.0163
956.25,1.25,59.31,0.0169
958.75,1.25,83.13,0.012
961.25,1.25,60.03,0.0167
963.75,1.25,58.96,0.017
966.25,1.25,71.84,0.0139
968.75,1.25,71.27,0.014
971.25,1.25,65.65,0.0152
973.75,1.25,65.2,0.0153
976.25,1.25,53.65,0.0186
978.75,1.25,61.04,0.0164
981.25,1.25,61.61,0.0162
983.75,1.25,67.02,0.0149
986.25,1.25,39.62,0.0252
988.75,1.25,44.53,0.0225
991.25,1.25,44.84,0.0223
993.75,1.25,45.24,0.0221
996.25,1.25,34.69,0.0288
998.75,1.25,36.46,0.0274
1001.25,1.25,36.91,0.0271
1003.75,1.25,31.25,0.032
1006.25,1.25,28.46,0.0351
1008.75,1.25,37.81,0.0264
1011.25,1.25,37.74,0.0265
1013.75,1.25,33.47,0.0299
1016.25,1.25,41.05,0.0244
1018.75,1.25,42.52,0.0235
1021.25,1.25,37.86,0.0264
1023.75,1.25,31.49,0.0318
1026.25,1.25,42.15,0.0237
1028.75,1.25,40.21,0.0249
1031.25,1.25,47.02,0.0213
1033.75,1.25,38.25,0.0261
1036.25,1.25,41.11,0.0243
1038.75,1.25,42.94,0.0233
1041.25,1.25,39.01,0.0256
1043.75,1.25,40.7,0.0246
1046.25,1.25,26.03,0.0384
1048.75,1.25,27.21,0.0368
1051.25,1.25,52.87,0.0189
1053.75,1.25,48,0.0208
1056.25,1.25,114.83,0.008709
1058.75,1.25,116.65,0.008573
1061.25,1.25,69.65,0.0144
1063.75,1.25,46.86,0.0213
1066.25,1.25,26.23,0.0381
1068.75,1.25,55.07,0.0182
1071.25,1.25,56.11,0.0178
1073.75,1.25,136.53,0.007324
1076.25,1.25,149.26,0.0067
1078.75,1.25,139.21,0.007183
1081.25,1.25,167.5,0.00597
1083.75,1.25,142.71,0.007007
1086.25,1.25,153.89,0.006498
1088.75,1.25,145.05,0.006894
1091.25,1.25,144.77,0.006908
1093.75,1.25,132.67,0.007537
1096.25,1.25,117.47,0.008513
1098.75,1.25,129.99,0.007693
1101.25,1.25,79.5,0.0126
1103.75,1.25,84.53,0.0118
1106.25,1.25,90.92,0.011
1108.75,1.25,73.23,0.0137
1111.25,1.25,71.71,0.0139
1113.75,1.25,120.34,0.00831
1116.25,1.25,109.27,0.009152
1118.75,1.25,73.11,0.0137
1121.25,1.25,73.01,0.0137
1123.75,1.25,70.56,0.0142
1126.25,1.25,58.29,0.0172
1128.75,1.25,75.51,0.0132
1131.25,1.25,56.47,0.0177
