X,Elevation,Resistivity,Conductivity
1372.51,206.65,118.87,0.008413
1377.51,206.67,125.88,0.007944
1382.51,206.67,268.4,0.003726
1387.51,206.67,568.2,0.00176
7.52,198.42,71.9,0.0139
12.52,197.65,47.53,0.021
17.52,196.89,31.39,0.0319
22.52,196.17,35.51,0.0282
27.52,195.42,38.58,0.0259
32.52,194.65,33.88,0.0295
37.52,194.02,66.83,0.015
42.52,193.55,191.3,0.005227
47.52,193.39,80.87,0.0124
52.52,193.59,40.71,0.0246
57.52,193.85,39.11,0.0256
62.52,194.1,34.12,0.0293
67.52,194.43,51.44,0.0194
72.52,194.85,50.78,0.0197
77.52,195.28,35.92,0.0278
82.52,195.74,34.97,0.0286
87.52,196.28,28.04,0.0357
92.52,196.87,28.12,0.0356
97.52,197.41,18.9,0.0529
102.52,197.9,30.99,0.0323
107.52,198.38,40.15,0.0249
112.52,198.75,65.45,0.0153
117.52,198.97,74.69,0.0134
122.52,199.15,36.43,0.0274
127.52,199.34,39.61,0.0252
132.52,199.52,42.42,0.0236
137.52,199.7,45.89,0.0218
142.52,199.88,43.91,0.0228
147.52,200.06,54.36,0.0184
152.52,200.23,39.66,0.0252
157.52,200.37,34.27,0.0292
162.52,200.51,109.01,0.009173
167.52,200.64,83.94,0.0119
172.52,200.77,25.13,0.0398
177.52,200.9,34.4,0.0291
182.52,201.03,42.51,0.0235
187.52,201.17,31.71,0.0315
192.52,201.24,36.5,0.0274
197.52,201.25,45.55,0.022
202.52,201.25,47.9,0.0209
207.52,201.25,60.53,0.0165
212.52,201.25,58.6,0.0171
217.52,201.25,42.55,0.0235
222.52,201.25,89.24,0.0112
227.52,201.25,64.82,0.0154
232.52,201.25,75.98,0.0132
237.52,201.25,58.69,0.017
242.52,201.25,49.4,0.0202
247.52,201.25,74.47,0.0134
252.52,201.25,128.48,0.007783
257.52,201.25,201.75,0.004957
262.52,201.25,203.73,0.004908
267.52,201.25,185.76,0.005383
272.52,201.25,219.79,0.00455
277.52,201.25,200.21,0.004995
282.52,201.25,208.87,0.004788
287.52,201.25,95.34,0.0105
292.52,201.25,364.48,0.002744
297.52,201.23,127.72,0.00783
302.52,201.18,123.62,0.008089
307.52,201.11,120.79,0.008279
312.52,201.04,52.36,0.0191
317.52,200.96,68.7,0.0146
322.52,200.89,39.6,0.0253
327.52,200.82,48.35,0.0207
332.52,200.75,76.15,0.0131
337.52,200.68,78.35,0.0128
342.52,200.6,70.24,0.0142
347.52,200.53,61.63,0.0162
352.52,200.46,54.88,0.0182
357.52,200.39,83.1,0.012
