X,Elevation,Resistivity,Conductivity
131.25,216.67,31.36,0.0319
133.75,216.68,29.44,0.034
136.25,216.68,29.44,0.034
138.75,216.68,29.34,0.0341
141.25,216.68,28.85,0.0347
143.75,216.69,28.28,0.0354
146.25,216.69,28.26,0.0354
148.75,216.69,30.94,0.0323
151.25,216.69,31.9,0.0314
153.75,216.7,42.08,0.0238
156.25,216.7,42.82,0.0234
158.75,216.7,41.71,0.024
161.25,216.7,36.2,0.0276
163.75,216.71,34.44,0.029
166.25,216.71,33.36,0.03
168.75,216.71,31.36,0.0319
171.25,216.71,31.37,0.0319
173.75,216.71,27.57,0.0363
176.25,216.72,27.52,0.0363
178.75,216.72,27.95,0.0358
181.25,216.72,28.39,0.0352
183.75,216.72,27.49,0.0364
186.25,216.73,26.99,0.0371
188.75,216.73,29.35,0.0341
191.25,216.73,29.72,0.0336
193.75,216.73,31.32,0.0319
196.25,216.74,38.65,0.0259
198.75,216.74,39.26,0.0255
201.25,216.74,35.76,0.028
203.75,216.74,30.37,0.0329
206.25,216.75,30.37,0.0329
208.75,216.75,35.75,0.028
211.25,216.75,35.86,0.0279
213.75,216.75,35.35,0.0283
216.25,216.76,35.31,0.0283
218.75,216.76,35.59,0.0281
221.25,216.76,36.31,0.0275
223.75,216.76,36.46,0.0274
226.25,216.77,36.43,0.0275
228.75,216.77,36.61,0.0273
231.25,216.77,36.99,0.027
233.75,216.77,31.89,0.0314
236.25,216.78,31.73,0.0315
238.75,216.78,32.15,0.0311
241.25,216.78,33.14,0.0302
243.75,216.78,30.76,0.0325
246.25,216.79,29.34,0.0341
248.75,216.79,29.32,0.0341
251.25,216.79,29.94,0.0334
253.75,216.79,31.63,0.0316
256.25,216.8,31.75,0.0315
258.75,216.8,31.72,0.0315
261.25,216.8,31.63,0.0316
263.75,216.8,32.74,0.0305
266.25,216.81,33.38,0.03
268.75,216.81,33.66,0.0297
271.25,216.81,33.6,0.0298
273.75,216.81,33.18,0.0301
276.25,216.82,32.84,0.0304
278.75,216.82,32.56,0.0307
281.25,216.82,32.46,0.0308
283.75,216.82,32.47,0.0308
286.25,216.83,32.47,0.0308
288.75,216.83,33.08,0.0302
291.25,216.83,34.58,0.0289
293.75,216.83,34.95,0.0286
296.25,216.84,35.29,0.0283
298.75,216.84,37.05,0.027
301.25,216.84,37.73,0.0265
303.75,216.84,38.5,0.026
306.25,216.84,38.98,0.0257
308.75,216.85,39.05,0.0256
311.25,216.85,39.04,0.0256
313.75,216.85,39.29,0.0254
316.25,216.85,44.1,0.0227
318.75,216.86,44.75,0.0223
321.25,216.86,45.74,0.0219
323.75,216.86,46.68,0.0214
326.25,216.86,46.86,0.0213
328.75,216.87,43.89,0.0228
331.25,216.87,43.45,0.023
333.75,216.87,45.31,0.0221
336.25,216.87,47.67,0.021
338.75,216.88,46.3,0.0216
341.25,216.88,41.98,0.0238
343.75,216.88,41.82,0.0239
346.25,216.88,41.57,0.0241
348.75,216.89,41.97,0.0238
351.25,216.89,45.22,0.0221
353.75,216.89,45.86,0.0218
356.25,216.89,45.81,0.0218
358.75,216.9,48.52,0.0206
361.25,216.9,52.41,0.0191
363.75,216.9,52.41,0.0191
366.25,216.9,52.32,0.0191
368.75,216.91,52.16,0.0192
371.25,216.91,52.22,0.0192
373.75,216.91,52.29,0.0191
376.25,216.91,52.93,0.0189
378.75,216.92,54.18,0.0185
381.25,216.92,54.56,0.0183
383.75,216.92,45.23,0.0221
386.25,216.92,41.33,0.0242
388.75,216.93,41.41,0.0241
391.25,216.93,41.66,0.024
393.75,216.93,41.61,0.024
396.25,216.93,42.84,0.0233
398.75,216.94,43.23,0.0231
401.25,216.94,43.06,0.0232
403.75,216.94,47.43,0.0211
406.25,216.94,47.6,0.021
408.75,216.95,47.04,0.0213
411.25,216.95,44.35,0.0225
413.75,216.95,42.67,0.0234
416.25,216.95,42.65,0.0234
418.75,216.96,45.79,0.0218
421.25,216.96,46.71,0.0214
423.75,216.96,46.84,0.0214
426.25,216.96,42.8,0.0234
428.75,216.96,42.89,0.0233
431.25,216.97,43.59,0.0229
433.75,216.97,44.27,0.0226
436.25,216.97,44.41,0.0225
438.75,216.97,56.17,0.0178
441.25,216.98,59.69,0.0168
443.75,216.98,59.69,0.0168
446.25,216.98,59.73,0.0167
448.75,216.98,63.6,0.0157
451.25,216.99,67.21,0.0149
453.75,216.99,67.75,0.0148
456.25,216.99,67.75,0.0148
458.75,216.99,67.65,0.0148
461.25,217,63.59,0.0157
463.75,217,62.13,0.0161
466.25,217,62.41,0.016
468.75,217,70.69,0.0141
471.25,217.01,70.82,0.0141
473.75,217.01,70.68,0.0141
476.25,217.01,70.51,0.0142
478.75,217.01,67.36,0.0148
481.25,217.02,56.21,0.0178
483.75,217.02,43.46,0.023
486.25,217.02,43.41,0.023
488.75,217.02,43.26,0.0231
491.25,217.03,43.24,0.0231
493.75,217.03,50.85,0.0197
