X,Elevation,Resistivity,Conductivity
186.26,217.28,33.83,0.0296
188.76,217.28,35.02,0.0286
191.26,217.29,35.01,0.0286
193.76,217.29,34.37,0.0291
196.26,217.3,34.42,0.0291
198.76,217.3,34.8,0.0287
201.26,217.31,35.13,0.0285
203.76,217.31,35.06,0.0285
206.26,217.32,34.67,0.0288
208.76,217.32,33.42,0.0299
211.26,217.33,32.83,0.0305
213.76,217.33,32.43,0.0308
216.26,217.34,32.38,0.0309
218.76,217.34,32.27,0.031
221.26,217.34,32.14,0.0311
223.76,217.35,31.92,0.0313
226.26,217.35,31.89,0.0314
228.76,217.36,31.94,0.0313
231.26,217.36,31.99,0.0313
233.76,217.37,32.09,0.0312
236.26,217.37,32.11,0.0311
238.76,217.38,32.35,0.0309
241.26,217.38,32.42,0.0308
243.76,217.39,32.61,0.0307
246.26,217.39,33.32,0.03
248.76,217.4,35.14,0.0285
251.26,217.4,35.18,0.0284
253.76,217.41,35.2,0.0284
256.26,217.41,35.22,0.0284
258.76,217.41,35.18,0.0284
261.26,217.42,32.31,0.0309
263.76,217.42,30.57,0.0327
266.26,217.43,30.6,0.0327
268.76,217.43,30.98,0.0323
271.26,217.44,31,0.0323
273.76,217.44,30.76,0.0325
276.26,217.45,30.07,0.0333
278.76,217.45,29.93,0.0334
281.26,217.46,29.91,0.0334
283.76,217.46,29.75,0.0336
286.26,217.47,29.19,0.0343
288.76,217.47,29.09,0.0344
291.26,217.48,30.83,0.0324
293.76,217.48,31.8,0.0314
296.26,217.48,30.57,0.0327
298.76,217.49,30.59,0.0327
301.26,217.49,30.85,0.0324
303.76,217.5,30.86,0.0324
306.26,217.5,30.84,0.0324
308.76,217.51,31.02,0.0322
311.26,217.51,31.71,0.0315
313.76,217.52,31.8,0.0314
316.26,217.52,31.89,0.0314
318.76,217.53,31.98,0.0313
321.26,217.53,31.99,0.0313
323.76,217.54,32.91,0.0304
326.26,217.54,33.74,0.0296
328.76,217.54,33.76,0.0296
331.26,217.55,33.3,0.03
333.76,217.55,33.3,0.03
336.26,217.56,33.37,0.03
338.76,217.56,33.01,0.0303
341.26,217.57,21.69,0.0461
343.76,217.57,21.66,0.0462
346.26,217.58,21.72,0.046
348.76,217.58,23.28,0.043
351.26,217.59,29.08,0.0344
353.76,217.59,30.26,0.033
356.26,217.6,30.85,0.0324
358.76,217.6,26.28,0.0381
361.26,217.61,26.59,0.0376
363.76,217.61,26.26,0.0381
366.26,217.61,25.09,0.0399
368.76,217.62,29.44,0.034
371.26,217.62,29.05,0.0344
373.76,217.63,23.53,0.0425
376.26,217.63,23.67,0.0423
378.76,217.64,24.33,0.0411
381.26,217.64,25,0.04
383.76,217.65,26.16,0.0382
386.26,217.65,29.5,0.0339
388.76,217.66,30.72,0.0325
391.26,217.66,30.89,0.0324
393.76,217.67,31.59,0.0317
396.26,217.67,31.72,0.0315
398.76,217.67,34.07,0.0294
401.26,217.68,34.91,0.0286
403.76,217.68,37.29,0.0268
406.26,217.69,37.51,0.0267
408.76,217.69,37.55,0.0266
411.26,217.7,37.58,0.0266
413.76,217.7,37.89,0.0264
416.26,217.71,38.96,0.0257
418.76,217.71,39.56,0.0253
421.26,217.72,39.55,0.0253
423.76,217.72,39.28,0.0255
426.26,217.73,39.29,0.0255
428.76,217.73,39.36,0.0254
431.26,217.74,38.53,0.026
433.76,217.74,34.6,0.0289
436.26,217.74,32.97,0.0303
438.76,217.75,32.01,0.0312
441.26,217.75,31.81,0.0314
443.76,217.76,31.73,0.0315
446.26,217.76,31.56,0.0317
448.76,217.77,29.84,0.0335
451.26,217.77,29.81,0.0335
453.76,217.78,25.54,0.0392
456.26,217.78,24.88,0.0402
458.76,217.79,31.17,0.0321
461.26,217.79,31.01,0.0322
463.76,217.8,26.41,0.0379
466.26,217.8,26.38,0.0379
468.76,217.81,26.45,0.0378
471.26,217.81,26.91,0.0372
473.76,217.81,28.89,0.0346
476.26,217.82,30.57,0.0327
478.76,217.82,30.54,0.0327
481.26,217.83,30.59,0.0327
483.76,217.83,30.78,0.0325
486.26,217.84,30.96,0.0323
488.76,217.84,32.57,0.0307
491.26,217.85,34.97,0.0286
493.76,217.85,35.9,0.0279
496.26,217.86,35.92,0.0278
498.76,217.86,35.93,0.0278
501.26,217.87,36.01,0.0278
503.76,217.87,36.29,0.0276
506.26,217.88,36.71,0.0272
508.76,217.88,36.86,0.0271
511.26,217.88,36.72,0.0272
513.76,217.89,34.63,0.0289
516.26,217.89,34.56,0.0289
518.76,217.9,34.44,0.029
521.26,217.9,32.72,0.0306
523.76,217.91,31.31,0.0319
526.26,217.91,31.3,0.0319
528.76,217.92,31.14,0.0321
531.26,217.92,31.03,0.0322
533.76,217.93,31.91,0.0313
536.26,217.93,32.12,0.0311
538.76,217.94,31.51,0.0317
541.26,217.94,31.49,0.0318
543.76,217.94,28.33,0.0353
546.26,217.95,31.33,0.0319
548.76,217.95,38.15,0.0262
551.26,217.96,34.15,0.0293
553.76,217.96,27.65,0.0362
556.26,217.97,29.64,0.0337
558.76,217.97,31.14,0.0321
561.26,217.98,31.34,0.0319
563.76,217.98,31.5,0.0318
