X,Elevation,Resistivity,Conductivity
742.49,220.18,35.14,0.0285
747.49,220.19,35.27,0.0284
752.49,220.21,35.57,0.0281
757.49,220.22,40.36,0.0248
762.49,220.24,39.65,0.0252
767.49,220.25,39.55,0.0253
772.49,220.27,39.27,0.0255
777.49,220.28,39.28,0.0255
782.49,220.3,39.27,0.0255
787.49,220.31,38.55,0.0259
12.49,219.51,41.28,0.0242
17.49,219.45,41.61,0.024
22.49,219.39,41.61,0.024
27.49,219.33,41.62,0.024
32.49,219.27,41.63,0.024
37.49,219.22,41.69,0.024
42.49,219.16,41.78,0.0239
47.49,219.1,41.89,0.0239
52.49,219.04,41.97,0.0238
57.49,218.99,42.05,0.0238
62.49,218.93,42.12,0.0237
67.49,218.87,42.24,0.0237
72.49,218.81,42.6,0.0235
77.49,218.76,42.99,0.0233
82.49,218.7,45.93,0.0218
87.49,218.64,49.26,0.0203
92.49,218.58,51.39,0.0195
97.49,218.52,51.42,0.0194
102.49,218.47,51.37,0.0195
107.49,218.41,51.16,0.0195
112.49,218.35,49.74,0.0201
117.49,218.28,48.48,0.0206
122.49,218.22,47.58,0.021
127.49,218.16,47.21,0.0212
132.49,218.1,47.01,0.0213
137.49,218.04,46.98,0.0213
142.49,217.98,46.98,0.0213
147.49,217.92,47.01,0.0213
152.49,217.86,47.13,0.0212
157.49,217.79,47.33,0.0211
162.49,217.73,47.47,0.0211
167.49,217.67,48.13,0.0208
172.49,217.61,48.34,0.0207
177.49,217.55,48.32,0.0207
182.49,217.49,47.89,0.0209
187.49,217.43,47.66,0.021
192.49,217.37,44.26,0.0226
197.49,217.3,42.62,0.0235
202.49,217.28,41.43,0.0241
207.49,217.3,40.88,0.0245
212.49,217.35,40.93,0.0244
217.49,217.39,41,0.0244
222.49,217.44,41.1,0.0243
227.49,217.48,41.33,0.0242
232.49,217.53,41.45,0.0241
237.49,217.58,41.61,0.024
242.49,217.62,43.17,0.0232
247.49,217.67,47.22,0.0212
252.49,217.71,48.18,0.0208
257.49,217.76,48.39,0.0207
262.49,217.81,49.89,0.02
267.49,217.85,51.48,0.0194
272.49,217.9,56.15,0.0178
277.49,217.94,57.24,0.0175
282.49,217.99,57.55,0.0174
287.49,218.03,57.77,0.0173
292.49,218.08,58.33,0.0171
297.49,218.13,58.4,0.0171
302.49,218.15,58.41,0.0171
307.49,218.15,58.34,0.0171
312.49,218.15,55.94,0.0179
317.49,218.15,52.85,0.0189
322.49,218.15,52.26,0.0191
327.49,218.15,52.04,0.0192
332.49,218.15,51.93,0.0193
337.49,218.15,51.85,0.0193
342.49,218.15,51.78,0.0193
347.49,218.15,51.72,0.0193
352.49,218.15,51.61,0.0194
357.49,218.15,51.43,0.0194
362.49,218.15,49.89,0.02
367.49,218.15,49.08,0.0204
372.49,218.15,48.21,0.0207
377.49,218.15,48.17,0.0208
382.49,218.15,48.19,0.0208
387.49,218.15,48.34,0.0207
392.49,218.15,49.7,0.0201
397.49,218.15,50.69,0.0197
402.49,218.12,53.34,0.0187
407.49,218.05,55.16,0.0181
412.49,217.97,56.33,0.0178
417.49,217.9,57.18,0.0175
422.49,217.82,57.53,0.0174
427.49,217.74,57.66,0.0173
432.49,217.67,57.76,0.0173
437.49,217.59,57.86,0.0173
442.49,217.51,57.91,0.0173
447.49,217.44,57.95,0.0173
452.49,217.36,57.94,0.0173
457.49,217.28,57.89,0.0173
462.49,217.21,57.64,0.0173
467.49,217.13,57.4,0.0174
472.49,217.05,57.01,0.0175
477.49,216.98,56.62,0.0177
482.49,216.9,55.83,0.0179
487.49,216.83,55.59,0.018
492.49,216.75,55.41,0.018
497.49,216.68,55.28,0.0181
502.49,216.67,55.15,0.0181
