X,Elevation,Resistivity,Conductivity
262.51,196.15,100.28,0.009972
267.51,196.15,102.47,0.009759
272.51,196.15,103.7,0.009643
277.51,196.15,104,0.009615
282.51,196.15,104.13,0.009603
287.51,196.15,104.18,0.009599
292.51,196.15,104.02,0.009614
297.51,196.16,100.88,0.009913
302.51,196.18,97.77,0.0102
307.51,196.19,95.43,0.0105
312.51,196.21,88.89,0.0112
317.51,196.22,85.65,0.0117
322.51,196.24,85.6,0.0117
327.51,196.25,85.69,0.0117
332.51,196.27,86.11,0.0116
337.51,196.28,87.29,0.0115
342.51,196.3,89.18,0.0112
347.51,196.31,89.8,0.0111
352.51,196.33,89.79,0.0111
357.51,196.34,87.98,0.0114
362.51,196.36,85.95,0.0116
367.51,196.37,84.38,0.0119
372.51,196.39,84.32,0.0119
377.51,196.4,84.46,0.0118
382.51,196.42,85.21,0.0117
387.51,196.43,88.27,0.0113
392.51,196.45,95.1,0.0105
397.51,196.45,95.66,0.0105
402.51,196.45,96.12,0.0104
407.51,196.45,96.24,0.0104
412.51,196.45,96.23,0.0104
417.51,196.45,95.88,0.0104
422.51,196.45,93.1,0.0107
427.51,196.45,92.47,0.0108
432.51,196.45,90.14,0.0111
437.51,196.45,89.24,0.0112
442.51,196.45,87.04,0.0115
447.51,196.45,84.79,0.0118
452.51,196.45,83.84,0.0119
457.51,196.45,82.93,0.0121
462.51,196.45,81.62,0.0123
467.51,196.45,81.47,0.0123
472.51,196.45,81.51,0.0123
477.51,196.45,81.68,0.0122
482.51,196.45,81.84,0.0122
487.51,196.44,81.93,0.0122
492.51,196.42,81.98,0.0122
497.51,196.39,81.97,0.0122
502.51,196.36,81.92,0.0122
507.51,196.34,81.51,0.0123
512.51,196.31,78.84,0.0127
517.51,196.29,76.1,0.0131
522.51,196.26,75.56,0.0132
527.51,196.23,75.45,0.0133
532.51,196.21,75.35,0.0133
537.51,196.18,75.25,0.0133
542.51,196.16,75.16,0.0133
547.51,196.13,75.1,0.0133
552.51,196.1,75.06,0.0133
557.51,196.08,75.02,0.0133
562.51,196.05,74.98,0.0133
567.51,196.02,74.92,0.0133
572.51,196,74.73,0.0134
577.51,195.97,74.19,0.0135
27.51,193.14,75.71,0.0132
32.51,193.15,75.68,0.0132
37.51,193.17,74.5,0.0134
42.51,193.19,72.58,0.0138
47.51,193.2,71.9,0.0139
52.51,193.22,68.78,0.0145
57.51,193.24,58.67,0.017
62.51,193.25,53.76,0.0186
67.51,193.27,53.68,0.0186
72.51,193.28,53.74,0.0186
77.51,193.3,54.92,0.0182
82.51,193.32,57.14,0.0175
87.51,193.33,58.67,0.017
92.51,193.35,60.44,0.0165
97.51,193.36,60.79,0.0165
102.51,193.38,62.39,0.016
107.51,193.39,76.54,0.0131
112.51,193.41,79.85,0.0125
117.51,193.42,79.89,0.0125
122.51,193.44,79.99,0.0125
127.51,193.45,82.05,0.0122
132.51,193.47,95.13,0.0105
137.51,193.48,111.36,0.00898
142.51,193.5,112.56,0.008884
147.51,193.51,112.53,0.008887
152.51,193.53,111.28,0.008986
157.51,193.54,103.64,0.009649
162.51,193.56,96.01,0.0104
167.51,193.57,91.39,0.0109
172.51,193.59,91.31,0.011
177.51,193.6,91.64,0.0109
182.51,193.62,98.6,0.0101
187.51,193.63,107.24,0.009325
192.51,193.64,107.41,0.00931
197.51,193.65,105.94,0.009439
202.51,193.65,105.66,0.009464
207.51,193.65,105.45,0.009483
212.51,193.65,105.28,0.009498
217.51,193.65,104.03,0.009613
222.51,193.65,100.82,0.009919
227.51,193.65,98.14,0.0102
232.51,193.65,97.66,0.0102
237.51,193.65,97.58,0.0102
242.51,193.65,97.67,0.0102
247.51,193.65,98.64,0.0101
252.51,193.65,99.95,0.01
