X,Elevation,Resistivity,Conductivity
841.25,201.66,28.92,0.0346
843.75,201.67,47.98,0.0208
846.25,201.69,29.13,0.0343
848.75,201.71,44.2,0.0226
851.25,201.72,46.73,0.0214
853.75,201.74,57.41,0.0174
856.25,201.75,60.95,0.0164
858.75,201.77,55.44,0.018
861.25,201.78,52.77,0.0189
863.75,201.8,53.7,0.0186
866.25,201.81,50.94,0.0196
868.75,201.83,52.91,0.0189
871.25,201.85,54.82,0.0182
873.75,201.86,53.72,0.0186
876.25,201.88,53.87,0.0186
878.75,201.89,53.86,0.0186
881.25,201.91,49.02,0.0204
883.75,201.92,48.66,0.0205
886.25,201.94,46.85,0.0213
888.75,201.95,44.45,0.0225
891.25,201.97,44.52,0.0225
893.75,201.98,33.77,0.0296
896.25,202,34.74,0.0288
898.75,202.01,34.15,0.0293
901.25,202.03,39.32,0.0254
903.75,202.05,36.33,0.0275
906.25,202.06,42.08,0.0238
908.75,202.08,27.81,0.036
911.25,202.09,44.45,0.0225
913.75,202.11,36.58,0.0273
916.25,202.12,42.62,0.0235
918.75,202.14,42.43,0.0236
921.25,202.15,42.57,0.0235
923.75,202.17,37.86,0.0264
926.25,202.18,33.91,0.0295
928.75,202.2,47.82,0.0209
931.25,202.21,44.5,0.0225
933.75,202.23,42.38,0.0236
936.25,202.24,43.31,0.0231
938.75,202.26,43.03,0.0232
941.25,202.27,39.21,0.0255
943.75,202.29,27.93,0.0358
946.25,202.31,26.33,0.038
948.75,202.32,44.01,0.0227
951.25,202.34,60.21,0.0166
953.75,202.35,61.24,0.0163
956.25,202.37,59.31,0.0169
958.75,202.38,83.13,0.012
961.25,202.4,60.03,0.0167
963.75,202.41,58.96,0.017
966.25,202.43,71.84,0.0139
968.75,202.44,71.27,0.014
971.25,202.46,65.65,0.0152
973.75,202.47,65.2,0.0153
976.25,202.49,53.65,0.0186
978.75,202.5,61.04,0.0164
981.25,202.52,61.61,0.0162
983.75,202.53,67.02,0.0149
986.25,202.55,39.62,0.0252
988.75,202.57,44.53,0.0225
991.25,202.58,44.84,0.0223
993.75,202.6,45.24,0.0221
996.25,202.61,34.69,0.0288
998.75,202.63,36.46,0.0274
1001.25,202.64,36.91,0.0271
1003.75,202.66,31.25,0.032
1006.25,202.67,28.46,0.0351
1008.75,202.69,37.81,0.0264
1011.25,202.71,37.74,0.0265
1013.75,202.72,33.47,0.0299
1016.25,202.74,41.05,0.0244
1018.75,202.76,42.52,0.0235
1021.25,202.78,37.86,0.0264
1023.75,202.81,31.49,0.0318
1026.25,202.83,42.15,0.0237
1028.75,202.85,40.21,0.0249
1031.25,202.87,47.02,0.0213
1033.75,202.9,38.25,0.0261
1036.25,202.92,41.11,0.0243
1038.75,202.94,42.94,0.0233
1041.25,202.97,39.01,0.0256
1043.75,202.99,40.7,0.0246
1046.25,203.01,26.03,0.0384
1048.75,203.03,27.21,0.0368
1051.25,203.06,52.87,0.0189
1053.75,203.08,48,0.0208
1056.25,203.1,114.83,0.008709
1058.75,203.13,116.65,0.008573
1061.25,203.15,69.65,0.0144
1063.75,203.17,46.86,0.0213
1066.25,203.19,26.23,0.0381
1068.75,203.22,55.07,0.0182
1071.25,203.24,56.11,0.0178
1073.75,203.26,136.53,0.007324
1076.25,203.28,149.26,0.0067
1078.75,203.31,139.21,0.007183
1081.25,203.33,167.5,0.00597
1083.75,203.35,142.71,0.007007
1086.25,203.38,153.89,0.006498
1088.75,203.4,145.05,0.006894
1091.25,203.42,144.77,0.006908
1093.75,203.45,132.67,0.007537
1096.25,203.47,117.47,0.008513
1098.75,203.49,129.99,0.007693
1101.25,203.51,79.5,0.0126
1103.75,203.54,84.53,0.0118
1106.25,203.56,90.92,0.011
1108.75,203.59,73.23,0.0137
1111.25,203.61,71.71,0.0139
1113.75,203.64,120.34,0.00831
1116.25,203.67,109.27,0.009152
1118.75,203.7,73.11,0.0137
1121.25,203.74,73.01,0.0137
1123.75,203.77,70.56,0.0142
1126.25,203.81,58.29,0.0172
1128.75,203.85,75.51,0.0132
1131.25,203.89,56.47,0.0177
1133.75,203.92,49.53,0.0202
1136.25,203.96,90.04,0.0111
1138.75,204,91.6,0.0109
1141.25,204.04,97.7,0.0102
1143.75,204.08,38.27,0.0261
1146.25,204.11,54.01,0.0185
1148.75,204.15,55.29,0.0181
1151.25,204.19,70.11,0.0143
1153.75,204.23,40.35,0.0248
1156.25,204.26,83.52,0.012
1158.75,204.3,61.21,0.0163
1161.25,204.34,50.5,0.0198
1163.75,204.38,67.12,0.0149
1166.25,204.41,68.84,0.0145
1168.75,204.45,67.16,0.0149
1171.25,204.49,33.29,0.03
1173.75,204.53,65.78,0.0152
1176.25,204.57,23.96,0.0417
1178.75,204.6,57.4,0.0174
1181.25,204.64,28.25,0.0354
1183.75,204.68,46.3,0.0216
1186.25,204.72,19.68,0.0508
1188.75,204.75,33.54,0.0298
1191.25,204.79,15.05,0.0664
1193.75,204.83,14.93,0.067
1196.25,204.87,40.21,0.0249
1198.75,204.9,38.04,0.0263
1201.25,204.94,21.43,0.0467
1203.75,204.98,43.96,0.0227
1206.25,205.01,24.7,0.0405
1208.75,205.05,30.38,0.0329
1211.25,205.09,29.45,0.034
1213.75,205.12,31.91,0.0313
1216.25,205.14,25.64,0.039
1218.75,205.15,26.03,0.0384
1221.25,205.16,25.71,0.0389
1223.75,205.17,31.58,0.0317
1226.25,205.18,33.65,0.0297
1228.75,205.19,26.01,0.0385
1231.25,205.2,28.11,0.0356
1233.75,205.21,28.73,0.0348
1236.25,205.22,22.2,0.0451
1238.75,205.23,24.53,0.0408
1241.25,205.23,45.33,0.0221
1243.75,205.24,34.27,0.0292
1246.25,205.25,32.14,0.0311
1248.75,205.26,28.21,0.0354
1251.25,205.27,28.24,0.0354
1253.75,205.27,28.51,0.0351
1256.25,205.28,32.56,0.0307
1258.75,205.29,27.47,0.0364
1261.25,205.3,30.08,0.0333
1263.75,205.31,28.18,0.0355
1266.25,205.31,31.27,0.032
1268.75,205.32,27.16,0.0368
1271.25,205.33,27.26,0.0367
1273.75,205.34,29.5,0.0339
1276.25,205.35,23.85,0.0419
1278.75,205.35,20.81,0.0481
1281.25,205.36,20.11,0.0497
1283.75,205.37,24.59,0.0407
1286.25,205.38,24.76,0.0404
1288.75,205.39,17.04,0.0587
1291.25,205.39,22.49,0.0445
1293.75,205.4,22.14,0.0452
1296.25,205.41,27.33,0.0366
1298.75,205.42,19.07,0.0524
1301.25,205.43,30.83,0.0324
1303.75,205.44,19.27,0.0519
1306.25,205.45,24.21,0.0413
1308.75,205.45,24.1,0.0415
1311.25,205.47,22.86,0.0437
1313.75,205.48,22.04,0.0454
1316.25,205.5,22.86,0.0437
1318.75,205.53,24.77,0.0404
1321.25,205.57,23.07,0.0434
1323.75,205.61,20.65,0.0484
1326.25,205.64,22.86,0.0437
1328.75,205.68,22.85,0.0438
1331.25,205.72,20.78,0.0481
1333.75,205.75,20.47,0.0489
1336.25,205.79,20.28,0.0493
1338.75,205.83,21.19,0.0472
1341.25,205.87,21.18,0.0472
1343.75,205.9,23.38,0.0428
1346.25,205.94,23.09,0.0433
1348.75,205.98,23.34,0.0428
1351.25,206.02,21.24,0.0471
1353.75,206.06,22.62,0.0442
1356.25,206.09,20.46,0.0489
1358.75,206.13,22.67,0.0441
1361.25,206.17,23.1,0.0433
