X,Elevation,Resistivity,Conductivity
768.75,221.19,34.96,0.0286
771.25,221.19,32.02,0.0312
773.75,221.2,30.68,0.0326
776.25,221.2,31.44,0.0318
778.75,221.2,31.43,0.0318
781.25,221.2,32.06,0.0312
783.75,221.2,28.93,0.0346
786.25,221.2,31.65,0.0316
788.75,221.21,32.02,0.0312
791.25,221.21,30.45,0.0328
793.75,221.21,29.91,0.0334
796.25,221.21,29.18,0.0343
798.75,221.21,29.18,0.0343
801.25,221.21,28.89,0.0346
803.75,221.21,29.61,0.0338
806.25,221.22,26.73,0.0374
808.75,221.22,28.11,0.0356
811.25,221.23,28.89,0.0346
813.75,221.23,28.8,0.0347
816.25,221.24,29.02,0.0345
818.75,221.25,29.06,0.0344
821.25,221.25,27.27,0.0367
823.75,221.26,30.05,0.0333
826.25,221.27,38.87,0.0257
828.75,221.27,32.09,0.0312
831.25,221.28,30.95,0.0323
833.75,221.29,30.71,0.0326
836.25,221.29,30.88,0.0324
838.75,221.3,30.94,0.0323
841.25,221.31,34.78,0.0287
843.75,221.31,34.8,0.0287
846.25,221.32,40.23,0.0249
848.75,221.33,40.17,0.0249
851.25,221.33,40.34,0.0248
853.75,221.34,40.52,0.0247
856.25,221.35,41.01,0.0244
858.75,221.35,42.72,0.0234
861.25,221.36,40.6,0.0246
863.75,221.37,40.65,0.0246
866.25,221.37,40.95,0.0244
868.75,221.38,40.88,0.0245
871.25,221.39,40.29,0.0248
873.75,221.39,39.49,0.0253
876.25,221.4,40.55,0.0247
878.75,221.41,40.34,0.0248
881.25,221.41,40.41,0.0247
883.75,221.42,39.49,0.0253
886.25,221.43,38.88,0.0257
888.75,221.43,36.13,0.0277
891.25,221.44,33.12,0.0302
893.75,221.45,33.14,0.0302
896.25,221.45,32.78,0.0305
898.75,221.46,32.83,0.0305
901.25,221.47,34.31,0.0291
903.75,221.47,34.59,0.0289
906.25,221.48,32.15,0.0311
908.75,221.49,32.19,0.0311
911.25,221.5,33.55,0.0298
913.75,221.51,33.59,0.0298
916.25,221.53,38.94,0.0257
918.75,221.54,38.98,0.0257
921.25,221.55,31.99,0.0313
923.75,221.56,34.19,0.0292
926.25,221.57,30.51,0.0328
928.75,221.58,30.07,0.0333
931.25,221.59,31.12,0.0321
933.75,221.6,31.43,0.0318
936.25,221.61,31.06,0.0322
938.75,221.62,29.71,0.0337
941.25,221.63,31.22,0.032
943.75,221.64,30.2,0.0331
946.25,221.65,29.98,0.0334
948.75,221.67,28.27,0.0354
951.25,221.68,31.93,0.0313
953.75,221.69,31.73,0.0315
956.25,221.7,30.66,0.0326
958.75,221.71,31.8,0.0314
961.25,221.72,31.85,0.0314
963.75,221.73,31.9,0.0313
966.25,221.74,31.59,0.0317
968.75,221.75,32.6,0.0307
971.25,221.76,31.7,0.0315
973.75,221.77,31.74,0.0315
976.25,221.78,28.12,0.0356
978.75,221.79,28.14,0.0355
981.25,221.8,27.22,0.0367
983.75,221.81,25.15,0.0398
986.25,221.82,24.66,0.0406
988.75,221.83,24.74,0.0404
991.25,221.84,24.56,0.0407
993.75,221.85,24.18,0.0414
996.25,221.86,23.83,0.042
998.75,221.87,24.05,0.0416
1001.25,221.88,26.53,0.0377
1003.75,221.88,24.47,0.0409
1006.25,221.89,24.58,0.0407
1008.75,221.9,34.14,0.0293
1011.25,221.91,29.39,0.034
1013.75,221.92,29.09,0.0344
1016.25,221.93,29.84,0.0335
1018.75,221.94,29.82,0.0335
1021.25,221.95,29.71,0.0337
1023.75,221.96,30.14,0.0332
1026.25,221.97,31.4,0.0318
1028.75,221.97,31.8,0.0314
1031.25,221.98,31.96,0.0313
1033.75,221.99,31.96,0.0313
1036.25,222,34.42,0.0291
1038.75,222.01,36.45,0.0274
1041.25,222.02,34.65,0.0289
1043.75,222.03,34.65,0.0289
1046.25,222.03,34.88,0.0287
1048.75,222.04,34.92,0.0286
1051.25,222.05,31.76,0.0315
1053.75,222.06,31.71,0.0315
1056.25,222.07,31.34,0.0319
1058.75,222.07,31.34,0.0319
1061.25,222.08,32.4,0.0309
1063.75,222.09,33.62,0.0297
1066.25,222.1,33.36,0.03
1068.75,222.1,33.38,0.03
1071.25,222.11,34.35,0.0291
1073.75,222.12,33.94,0.0295
1076.25,222.13,35.46,0.0282
1078.75,222.13,35.2,0.0284
1081.25,222.14,34.68,0.0288
1083.75,222.15,35.55,0.0281
1086.25,222.16,35.93,0.0278
1088.75,222.16,36.4,0.0275
1091.25,222.17,46.88,0.0213
1093.75,222.18,35.31,0.0283
1096.25,222.18,35.98,0.0278
1098.75,222.19,48.64,0.0206
1101.25,222.2,42.6,0.0235
1103.75,222.2,42.43,0.0236
1106.25,222.21,43.79,0.0228
1108.75,222.21,44.18,0.0226
1111.25,222.22,44.57,0.0224
1113.75,222.22,46.86,0.0213
1116.25,222.23,44.99,0.0222
1118.75,222.23,46.88,0.0213
1121.25,222.24,46.47,0.0215
1123.75,222.24,46.45,0.0215
1126.25,222.25,46.54,0.0215
1128.75,222.25,53.52,0.0187
1131.25,222.26,52.98,0.0189
1133.75,222.26,53.09,0.0188
1136.25,222.27,59.22,0.0169
1138.75,222.27,58.52,0.0171
1141.25,222.28,56.71,0.0176
1143.75,222.28,61.74,0.0162
1146.25,222.29,54.02,0.0185
1148.75,222.29,55.59,0.018
1151.25,222.3,51.28,0.0195
1153.75,222.3,51.41,0.0195
1156.25,222.31,53.94,0.0185
1158.75,222.31,59.03,0.0169
1161.25,222.32,60.05,0.0167
1163.75,222.32,60.63,0.0165
1166.25,222.32,67.9,0.0147
1168.75,222.33,58.66,0.017
1171.25,222.33,71.44,0.014
1173.75,222.34,65.92,0.0152
1176.25,222.34,83.94,0.0119
1178.75,222.35,65.52,0.0153
1181.25,222.35,85.07,0.0118
1183.75,222.36,70.74,0.0141
1186.25,222.36,67.63,0.0148
1188.75,222.37,78.2,0.0128
1191.25,222.37,73.69,0.0136
1193.75,222.38,73.75,0.0136
1196.25,222.38,72.59,0.0138
1198.75,222.39,72.59,0.0138
1201.25,222.39,73.61,0.0136
1203.75,222.4,73.37,0.0136
1206.25,222.4,75.99,0.0132
1208.75,222.41,72.95,0.0137
1211.25,222.41,73.01,0.0137
1213.75,222.41,68.75,0.0145
1216.25,222.42,64.43,0.0155
1218.75,222.42,69.25,0.0144
1221.25,222.43,73.06,0.0137
1223.75,222.43,75.17,0.0133
1226.25,222.43,72.65,0.0138
1228.75,222.44,77.73,0.0129
1231.25,222.44,77.81,0.0129
1233.75,222.45,80.46,0.0124
1236.25,222.45,85.93,0.0116
1238.75,222.45,86.09,0.0116
1241.25,222.46,86.3,0.0116
1243.75,222.46,86.27,0.0116
1246.25,222.47,69.85,0.0143
1248.75,222.47,86.88,0.0115
1251.25,222.47,70.08,0.0143
1253.75,222.48,70.33,0.0142
1256.25,222.48,67.13,0.0149
1258.75,222.49,62.49,0.016
1261.25,222.49,68.84,0.0145
1263.75,222.49,69.15,0.0145
1266.25,222.5,81.1,0.0123
1268.75,222.5,66.74,0.015
1271.25,222.5,88.1,0.0114
1273.75,222.51,66.85,0.015
1276.25,222.51,60.14,0.0166
1278.75,222.52,87.15,0.0115
1281.25,222.52,79.77,0.0125
1283.75,222.52,73.33,0.0136
1286.25,222.53,81.14,0.0123
1288.75,222.53,80.81,0.0124
1291.25,222.53,82.47,0.0121
1293.75,222.54,82.33,0.0121
1296.25,222.54,82.57,0.0121
1298.75,222.55,80.58,0.0124
1301.25,222.55,80.83,0.0124
1303.75,222.55,80.91,0.0124
1306.25,222.56,84.66,0.0118
1308.75,222.56,77.2,0.013
1311.25,222.56,70.72,0.0141
1313.75,222.56,79.68,0.0126
1316.25,222.56,79.36,0.0126
1318.75,222.56,85.98,0.0116
1321.25,222.57,80.33,0.0124
1323.75,222.57,89.3,0.0112
1326.25,222.57,79.81,0.0125
1328.75,222.57,85.18,0.0117
1331.25,222.57,76.55,0.0131
1333.75,222.57,80.1,0.0125
1336.25,222.57,76.34,0.0131
1338.75,222.57,82.33,0.0121
1341.25,222.57,77.53,0.0129
1343.75,222.57,78.93,0.0127
1346.25,222.57,81.27,0.0123
1348.75,222.57,80.19,0.0125
1351.25,222.57,71.97,0.0139
1353.75,222.57,64.18,0.0156
1356.25,222.57,77.69,0.0129
1358.75,222.57,48.01,0.0208
1361.25,222.57,65.65,0.0152
1363.75,222.57,76.13,0.0131
1366.25,222.57,76.09,0.0131
1368.75,222.57,76.99,0.013
1371.25,222.57,83.03,0.012
1373.75,222.57,81.55,0.0123
1376.25,222.57,84.11,0.0119
1378.75,222.57,83.73,0.0119
1381.25,222.57,76.3,0.0131
1383.75,222.57,71.95,0.0139
1386.25,222.57,71.04,0.0141
1388.75,222.57,70.47,0.0142
1391.25,222.57,69.85,0.0143
1393.75,222.57,70.39,0.0142
1396.25,222.56,82.2,0.0122
1398.75,222.56,60,0.0167
1401.25,222.56,67.26,0.0149
1403.75,222.56,66.7,0.015
1406.25,222.56,63.34,0.0158
1408.75,222.57,58.76,0.017
1411.25,222.58,60.28,0.0166
1413.75,222.58,67.34,0.0149
1416.25,222.59,63.91,0.0156
1418.75,222.6,66.19,0.0151
1421.25,222.61,65.63,0.0152
1423.75,222.61,65.71,0.0152
1426.25,222.62,65.89,0.0152
1428.75,222.63,65.98,0.0152
1431.25,222.63,62.06,0.0161
1433.75,222.64,62.58,0.016
1436.25,222.65,58.71,0.017
1438.75,222.65,58.87,0.017
1441.25,222.66,53.16,0.0188
1443.75,222.67,53.04,0.0189
1446.25,222.67,55.84,0.0179
1448.75,222.68,56.44,0.0177
1451.25,222.69,42.55,0.0235
1453.75,222.69,50.29,0.0199
1456.25,222.7,49.81,0.0201
1458.75,222.71,38.83,0.0258
1461.25,222.71,40.12,0.0249
1463.75,222.72,43.09,0.0232
1466.25,222.73,43.62,0.0229
1468.75,222.73,51.42,0.0194
1471.25,222.74,49.56,0.0202
1473.75,222.75,52.87,0.0189
1476.25,222.75,56.45,0.0177
1478.75,222.76,56.07,0.0178
1481.25,222.77,63.16,0.0158
1483.75,222.77,52.4,0.0191
1486.25,222.78,59.83,0.0167
1488.75,222.78,49.5,0.0202
1491.25,222.78,54.21,0.0184
1493.75,222.79,54,0.0185
1496.25,222.79,59.81,0.0167
1498.75,222.79,54.79,0.0183
1501.25,222.79,59.7,0.0167
1503.75,222.8,58.21,0.0172
1506.25,222.8,52.81,0.0189
1508.75,222.8,55.08,0.0182
1511.25,222.8,55.24,0.0181
1513.75,222.81,54.8,0.0182
1516.25,222.81,58.38,0.0171
1518.75,222.81,58.51,0.0171
1521.25,222.81,57.74,0.0173
1523.75,222.82,56.84,0.0176
1526.25,222.82,54.52,0.0183
1528.75,222.82,55.17,0.0181
1531.25,222.82,53.58,0.0187
1533.75,222.83,43.82,0.0228
1536.25,222.83,45.65,0.0219
1538.75,222.83,47.07,0.0212
1541.25,222.83,37.01,0.027
1543.75,222.83,45.72,0.0219
1546.25,222.84,46.96,0.0213
1548.75,222.84,35.25,0.0284
1551.25,222.84,42.23,0.0237
1553.75,222.84,43.04,0.0232
1556.25,222.85,47.64,0.021
1558.75,222.85,48.7,0.0205
1561.25,222.85,44.67,0.0224
1563.75,222.85,46.14,0.0217
1566.25,222.86,46.47,0.0215
1568.75,222.86,35.71,0.028
8.76,217.62,30.65,0.0326
11.26,217.63,30.91,0.0324
13.76,217.63,31.31,0.0319
16.26,217.64,31.19,0.0321
18.76,217.64,31.07,0.0322
21.26,217.65,31.11,0.0321
23.76,217.65,31.94,0.0313
26.26,217.66,31.97,0.0313
28.76,217.66,31.69,0.0316
31.26,217.66,31.54,0.0317
33.76,217.67,31.52,0.0317
36.26,217.67,31.67,0.0316
38.76,217.68,31.95,0.0313
41.26,217.68,32.01,0.0312
43.76,217.69,28.96,0.0345
46.26,217.69,28.65,0.0349
48.76,217.7,28.6,0.035
51.26,217.7,28.38,0.0352
53.76,217.71,27.96,0.0358
56.26,217.71,27.56,0.0363
58.76,217.72,28.47,0.0351
61.26,217.72,30.07,0.0333
63.76,217.72,37.31,0.0268
66.26,217.73,39.34,0.0254
